estimate_households,moe_households,estimate_family,moe_family,estimate_family_with_children_under_18,moe_family_with_children_under_18,estimate_family_with_no_children_under_18,moe_family_with_no_children_under_18,estimate_married_couple,moe_married_couple,estimate_nonfamily,moe_nonfamily,year
114567419,163249,76089045,141318,44.7,0.1,55.3,0.1,73.2,0.1,38478374,96945,2010
114991725,179541,76084006,144469,44.4,0.1,55.6,0.1,73,0.1,38907719,111894,2011
115969540,150555,76509262,122329,43.9,0.1,56.1,0.1,72.9,0.1,39460278,82851,2012
116291033,141632,76680463,129862,43.4,0.1,56.6,0.1,72.8,0.1,39610570,97239,2013
117259427,146938,77152072,126112,42.9,0.1,57.1,0.1,72.7,0.1,40107355,83075,2014
118208250,155130,77530756,136900,42.6,0.1,57.4,0.1,73.2,0.1,40677494,98602,2015
118860065,154606,77785962,125088,42.2,0.1,57.8,0.1,73.2,0.1,41074103,103964,2016
120062818,161148,78631163,144258,32846899,79121,45784264,105516,57847574,164114,7789620,45691,2017
121520180,153217,79241578,137610,32777050,78353,46464528,105890,58174461,165541,7778779,47532,2018
122802852,137327,79594270,130690,32481312,88550,47112958,116091,58370842,156460,7642966,56270,2019
114567419,163249,76089045,141318,44.7,0.1,55.3,0.1,73.2,0.1,38478374,96945,2010
114991725,179541,76084006,144469,44.4,0.1,55.6,0.1,73,0.1,38907719,111894,2011
115969540,150555,76509262,122329,43.9,0.1,56.1,0.1,72.9,0.1,39460278,82851,2012
116291033,141632,76680463,129862,43.4,0.1,56.6,0.1,72.8,0.1,39610570,97239,2013
117259427,146938,77152072,126112,42.9,0.1,57.1,0.1,72.7,0.1,40107355,83075,2014
118208250,155130,77530756,136900,42.6,0.1,57.4,0.1,73.2,0.1,40677494,98602,2015
118860065,154606,77785962,125088,42.2,0.1,57.8,0.1,73.2,0.1,41074103,103964,2016
120062818,161148,78631163,144258,32846899,79121,45784264,105516,57847574,164114,7789620,45691,2017
121520180,153217,79241578,137610,32777050,78353,46464528,105890,58174461,165541,7778779,47532,2018
122802852,137327,79594270,130690,32481312,88550,47112958,116091,58370842,156460,7642966,56270,2019
114567419,163249,76089045,141318,44.7,0.1,55.3,0.1,73.2,0.1,38478374,96945,2010
114991725,179541,76084006,144469,44.4,0.1,55.6,0.1,73,0.1,38907719,111894,2011
115969540,150555,76509262,122329,43.9,0.1,56.1,0.1,72.9,0.1,39460278,82851,2012
116291033,141632,76680463,129862,43.4,0.1,56.6,0.1,72.8,0.1,39610570,97239,2013
117259427,146938,77152072,126112,42.9,0.1,57.1,0.1,72.7,0.1,40107355,83075,2014
118208250,155130,77530756,136900,42.6,0.1,57.4,0.1,73.2,0.1,40677494,98602,2015
118860065,154606,77785962,125088,42.2,0.1,57.8,0.1,73.2,0.1,41074103,103964,2016
120062818,161148,78631163,144258,32846899,79121,45784264,105516,57847574,164114,7789620,45691,2017
121520180,153217,79241578,137610,32777050,78353,46464528,105890,58174461,165541,7778779,47532,2018
122802852,137327,79594270,130690,32481312,88550,47112958,116091,58370842,156460,7642966,56270,2019
114567419,163249,76089045,141318,44.7,0.1,55.3,0.1,73.2,0.1,38478374,96945,2010
114991725,179541,76084006,144469,44.4,0.1,55.6,0.1,73,0.1,38907719,111894,2011
115969540,150555,76509262,122329,43.9,0.1,56.1,0.1,72.9,0.1,39460278,82851,2012
116291033,141632,76680463,129862,43.4,0.1,56.6,0.1,72.8,0.1,39610570,97239,2013
117259427,146938,77152072,126112,42.9,0.1,57.1,0.1,72.7,0.1,40107355,83075,2014
118208250,155130,77530756,136900,42.6,0.1,57.4,0.1,73.2,0.1,40677494,98602,2015
118860065,154606,77785962,125088,42.2,0.1,57.8,0.1,73.2,0.1,41074103,103964,2016
120062818,161148,78631163,144258,32846899,79121,45784264,105516,57847574,164114,7789620,45691,2017
121520180,153217,79241578,137610,32777050,78353,46464528,105890,58174461,165541,7778779,47532,2018
122802852,137327,79594270,130690,32481312,88550,47112958,116091,58370842,156460,7642966,56270,2019
