estimate_family_male,moe_family_male,estimate_nonfamily_male,moe_nonfamily_male,estimate_nonfamily_male_alone,moe_nonfamily_male_alone,estimate_nonfamily_male_shared,moe_nonfamily_male_shared,year
7.1,0.1,46.3,0.1,36.1,0.1,10.2,0.1,2010
7.2,0.1,46.3,0.1,36.3,0.1,10.1,0.1,2011
7.3,0.1,46.5,0.1,36.3,0.1,10.2,0.1,2012
7.3,0.1,46.6,0.1,36.2,0.1,10.4,0.1,2013
7.5,0.1,46.7,0.1,36.3,0.1,10.5,0.1,2014
7.4,0.1,46.7,0.1,36.1,0.1,10.6,0.1,2015
7.4,0.1,46.8,0.1,36.2,0.1,10.6,0.1,2016
14896928,60378,,,,,,,2017
15061738,67919,17409259,68708,14179989,57682,6438619,44824,2018
15055520,74144,17407311,63056,14193715,64353,6457555,45956,2019
7.1,0.1,46.3,0.1,36.1,0.1,10.2,0.1,2010
7.2,0.1,46.3,0.1,36.3,0.1,10.1,0.1,2011
7.3,0.1,46.5,0.1,36.3,0.1,10.2,0.1,2012
7.3,0.1,46.6,0.1,36.2,0.1,10.4,0.1,2013
7.5,0.1,46.7,0.1,36.3,0.1,10.5,0.1,2014
7.4,0.1,46.7,0.1,36.1,0.1,10.6,0.1,2015
7.4,0.1,46.8,0.1,36.2,0.1,10.6,0.1,2016
14896928,60378,,,,,,,2017
15061738,67919,17409259,68708,14179989,57682,6438619,44824,2018
15055520,74144,17407311,63056,14193715,64353,6457555,45956,2019
7.1,0.1,46.3,0.1,36.1,0.1,10.2,0.1,2010
7.2,0.1,46.3,0.1,36.3,0.1,10.1,0.1,2011
7.3,0.1,46.5,0.1,36.3,0.1,10.2,0.1,2012
7.3,0.1,46.6,0.1,36.2,0.1,10.4,0.1,2013
7.5,0.1,46.7,0.1,36.3,0.1,10.5,0.1,2014
7.4,0.1,46.7,0.1,36.1,0.1,10.6,0.1,2015
7.4,0.1,46.8,0.1,36.2,0.1,10.6,0.1,2016
14896928,60378,,,,,,,2017
15061738,67919,17409259,68708,14179989,57682,6438619,44824,2018
15055520,74144,17407311,63056,14193715,64353,6457555,45956,2019
7.1,0.1,46.3,0.1,36.1,0.1,10.2,0.1,2010
7.2,0.1,46.3,0.1,36.3,0.1,10.1,0.1,2011
7.3,0.1,46.5,0.1,36.3,0.1,10.2,0.1,2012
7.3,0.1,46.6,0.1,36.2,0.1,10.4,0.1,2013
7.5,0.1,46.7,0.1,36.3,0.1,10.5,0.1,2014
7.4,0.1,46.7,0.1,36.1,0.1,10.6,0.1,2015
7.4,0.1,46.8,0.1,36.2,0.1,10.6,0.1,2016
14896928,60378,,,,,,,2017
15061738,67919,17409259,68708,14179989,57682,6438619,44824,2018
15055520,74144,17407311,63056,14193715,64353,6457555,45956,2019
