estimate_white,moe_white,estimate_black,estimate_native_american,moe_native_american,estimate_asian,moe_asian,estimate_hawaiian_pacific_islander,moe_hawaiian_pacific_islander,estimate_other,moe_other,estimate_multiple_races,moe_multiple_races,estimate_hispanic_latino,moe_hispanic_latino,estimate_white_not_hispanic,moe_white_not_hispanic,year
78.2,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.6,0.1,70.6,0.1,2010
78,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.9,0.1,70.2,0.1,2011
77.8,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.1,0.1,69.8,0.1,2012
77.6,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.2,0.1,69.4,0.1,2013
77.2,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.5,0.1,68.8,0.1,2014
77,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.7,0.1,68.4,0.1,2015
76.6,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.6,0.1,2,0.1,12.9,0.1,68,0.1,2016
91620445,107067,14800044,43712,15719,5739939,26037,159732,5799,4383033,36602,2476923,35877,15832610,49679,81071882,83326,2017
92352948,110884,15097600,47216,15989,5926096,25879,169684,6020,4416327,34696,2654380,40914,16351859,46878,81414881,85059,2018
93145172,104092,15382489,40152,13240,6052073,23724,170390,8138,4422288,31085,2678127,46109,16681970,50906,81930212,88967,2019
78.2,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.6,0.1,70.6,0.1,2010
78,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.9,0.1,70.2,0.1,2011
77.8,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.1,0.1,69.8,0.1,2012
77.6,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.2,0.1,69.4,0.1,2013
77.2,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.5,0.1,68.8,0.1,2014
77,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.7,0.1,68.4,0.1,2015
76.6,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.6,0.1,2,0.1,12.9,0.1,68,0.1,2016
91620445,107067,14800044,43712,15719,5739939,26037,159732,5799,4383033,36602,2476923,35877,15832610,49679,81071882,83326,2017
92352948,110884,15097600,47216,15989,5926096,25879,169684,6020,4416327,34696,2654380,40914,16351859,46878,81414881,85059,2018
93145172,104092,15382489,40152,13240,6052073,23724,170390,8138,4422288,31085,2678127,46109,16681970,50906,81930212,88967,2019
78.2,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.6,0.1,70.6,0.1,2010
78,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.9,0.1,70.2,0.1,2011
77.8,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.1,0.1,69.8,0.1,2012
77.6,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.2,0.1,69.4,0.1,2013
77.2,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.5,0.1,68.8,0.1,2014
77,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.7,0.1,68.4,0.1,2015
76.6,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.6,0.1,2,0.1,12.9,0.1,68,0.1,2016
91620445,107067,14800044,43712,15719,5739939,26037,159732,5799,4383033,36602,2476923,35877,15832610,49679,81071882,83326,2017
92352948,110884,15097600,47216,15989,5926096,25879,169684,6020,4416327,34696,2654380,40914,16351859,46878,81414881,85059,2018
93145172,104092,15382489,40152,13240,6052073,23724,170390,8138,4422288,31085,2678127,46109,16681970,50906,81930212,88967,2019
78.2,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.6,0.1,70.6,0.1,2010
78,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.9,0.1,70.2,0.1,2011
77.8,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.1,0.1,69.8,0.1,2012
77.6,0.1,12,0.1,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.2,0.1,69.4,0.1,2013
77.2,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.5,0.1,68.8,0.1,2014
77,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.7,0.1,68.4,0.1,2015
76.6,0.1,12,0.1,0.1,5,0.1,0.1,0.1,3.6,0.1,2,0.1,12.9,0.1,68,0.1,2016
91620445,107067,14800044,43712,15719,5739939,26037,159732,5799,4383033,36602,2476923,35877,15832610,49679,81071882,83326,2017
92352948,110884,15097600,47216,15989,5926096,25879,169684,6020,4416327,34696,2654380,40914,16351859,46878,81414881,85059,2018
93145172,104092,15382489,40152,13240,6052073,23724,170390,8138,4422288,31085,2678127,46109,16681970,50906,81930212,88967,2019
