total_estimate_households,total_moe_households,total_estimate_white,total_moe_white,total_estimate_black,total_moe_black,total_estimate_native_american,total_moe_native_american,total_estimate_asian,total_moe_asian,total_estimate_hawaiian_pacific_islander,total_moe_hawaiian_pacific_islander,total_estimate_other,total_moe_other,total_estimate_multiple_races,total_moe_multiple_races,total_estimate_hispanic_latino,total_moe_hispanic_latino,total_estimate_white_not_hispanic,total_moe_white_not_hispanic,total_estimate_household_income_15_to_24,total_moe_hoosehold_income_15_to_24,total_estimate_household_income_25_to_44,total_moe_household_income_25_to_44,total_estimate_household_income_45_to_64,total_moe_household_income_44_to_65,total_estimate_household_income_65_plus,total_moe_household_income_65_plus,total_estimate_family,total_moe_family,total_estimate_family_with_children_under_18,total_moe_family_with_children_under_18,total_estimate_family_with_no_children_under_18,total_moe_family_with_no_children_under_18,total_estimate_married_couple,total_moe_married_couple,total_estimate_family_female,total_moe_family_female,total_estimate_family_male,total_moe_family_male,total_estimate_nonfamily,total_moe_nonfamily,total_estimate_nonfamily_female,total_moe_nonfamily_female,total_estimate_nonfamily_female_alone,total_moe_nonfamily_female_alone,total_estimate_nonfamily_female_shared,total_moe_nonfamily_female_shared,total_estimate_nonfamily_male,total_moe_nonfamily_male,total_estimate_nonfamily_male_alone,total_moe_nonfamily_male_alone,total_estimate_nonfamily_male_shared,total_moe_nonfamily_male_shared,total_estimate_percent_imputed_household_income_in_past_yr,total_moe_percent_imputed_household_income_in_past_yr,total_estimate_percent_impoted_family_income_in_past_yr,total_moe_percent_imputed_family_income_in_past_yr,total_estimate_percent_imputed_nonfamily_income_in_past_yr,total_moe_percent_imputed_nonfamily_income_in_past_yr,median_income_estimate_household,median_income_moe_household,median_income_estimate_white,median_income_moe_white,median_income_estimate_black,median_income_moe_black,median_income_estimate_native_american,median_income_moe_native_american,median_income_estimate_asian,median_income_moe_asian,median_income_estimate_hawaiian_pacific_islander,median_income_moe_hawaiian_pacific_islander,median_income_estimate_other,median_income_moe_other,median_income_estimate_multiple_races,median_income_moe_multiple_races,median_income_estimate_hispanic_latino_origin,median_income_moe_hispanic_latino_origin,median_income_estimate_white_not_hispanic,median_income_moe_white_not_hispanic,median_income_estimate_household_15_to_24,median_income_moe_household_15_to_24,median_income_estimate_household_24_to_45,median_income_moe_household_25_to_44,median_income_estimate_household_45_to_64,median_income_moe_household_45_to_64,median_income_estimate_household_65_plus,median_income_moe_household_65_plus,median_income_estimate_family,median_income_moe_family,median_income_estimate_family_with_children_under_18,median_income_moe_family_with_children_under_18,median_income_estimate_family_with_no_children_under_18,median_income_moe_family_with_no_children_under_18,median_income_estimate_married_couple,median_income_moe_married_couple,median_income_estimate_family_female,median_income_moe_family_female,median_income_estimate_family_male,median_income_moe_family_male,median_income_estimate_nonfamily_household,median_income_moe_nonfamily_household,median_income_estimate_nonfamily_female,median_income_moe_nonfamily_female,median_income_estimate_nonfamily_female_alone,median_income_moe_nonfamily_female_alone,median_income_estimate_nonfamily_female_shared,median_income_moe_nonfamily_female_shared,median_income_estimate_nonfamily_male,median_income_moe_nonfamily_male,median_income_estimate_nonfamily_male_alone,median_income_moe_nonfamily_male_alone,median_income_estimate_nonfamily_male_shared,median_income_moe_nonfamily_male_shared,median_income_estimate_percent_imputed_household_past_yr,median_income_moe_percent_imputed_household_past_yr,median_income_estimate_percent_imputed_family_past_yr,median_income_moe_percent_imputed_family_past_yr,median_income_estimate_percent_imputed_nonfamily_past_yr,median_income_moe_percent_imputed_nonfamily_past_yr,year
114567419,163249,78.2,0.1,12,0.1,0.7,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.6,0.1,70.6,0.1,4.3,0.1,34.1,0.1,39.9,0.1,21.7,0.1,76089045,141318,44.7,0.1,55.3,0.1,73.2,0.1,19.7,0.1,7.1,0.1,38478374,96945,53.7,0.1,45.5,0.1,8.2,0.1,46.3,0.1,36.1,0.1,10.2,0.1,28.8,(X),29.5,(X),25.9,(X),50046,64,52480,83,33578,217,35062,685,67022,416,52776,2767,38230,412,43597,660,40165,147,54168,109,24143,268,54024,156,60683,125,34381,97,60609,93,57085,182,62611,152,72596,149,30085,121,41474,242,30440,82,26261,109,23568,114,50292,490,35484,125,31135,101,55200,488,(X),(X),(X),(X),(X),(X),2010
114991725,179541,78,0.1,12,0.1,0.7,0.1,4,0.1,0.1,0.1,3.3,0.1,1.7,0.1,11.9,0.1,70.2,0.1,4.1,0.1,33.7,0.1,40.1,0.1,22.1,0.1,76084006,144469,44.4,0.1,55.6,0.1,73,0.1,19.9,0.1,7.2,0.1,38907719,111894,53.7,0.1,45.7,0.1,8,0.1,46.3,0.1,36.3,0.1,10.1,0.1,29,,29.5,,26.3,,50502,73,53444,106,33223,226,35192,819,67885,801,49378,2920,37172,295,44115,729,39589,248,55305,104,23788,238,54768,207,61148,110,35107,120,61455,109,58035,281,63701,140,74392,129,30052,135,41763,244,30500,86,26288,96,23631,102,50379,478,35718,143,31317,134,56020,397,,,,,,,2011
115969540,150555,77.8,0.1,12,0.1,0.7,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.1,0.1,69.8,0.1,4,0.1,33.3,0.1,39.8,0.1,22.9,0.1,76509262,122329,43.9,0.1,56.1,0.1,72.9,0.1,19.8,0.1,7.3,0.1,39460278,82851,53.5,0.1,45.4,0.1,8,0.1,46.5,0.1,36.3,0.1,10.2,0.1,29.2,,29.7,,26.7,,51371,53,54729,82,33764,203,35310,600,70644,347,51322,1649,38439,424,44930,674,40417,161,56565,79,24476,265,55821,143,62049,107,36743,108,62527,123,59537,235,65120,116,76035,121,30486,118,42588,342,31231,73,26959,87,24222,109,52433,418,36643,128,31895,115,57869,554,,,,,,,2012
116291033,141632,77.6,0.1,12,0.1,0.7,0.1,4,0.1,0.1,0.1,3.3,0.1,1.8,0.1,12.2,0.1,69.4,0.1,3.9,0.1,33.1,0.1,39.6,0.1,23.4,0.1,76680463,129862,43.4,0.1,56.6,0.1,72.8,0.1,19.8,0.1,7.3,0.1,39610570,97239,53.4,0.1,45.2,0.1,8.2,0.1,46.6,0.1,36.2,0.1,10.4,0.1,31.5,,32.1,,28.8,,52250,65,55867,106,34815,202,36641,653,72472,609,50591,1921,39346,487,46709,487,41508,182,57684,143,25391,207,56987,164,63474,179,37847,137,64030,134,60654,155,66424,135,77607,152,31227,135,44019,365,31705,61,27527,136,24713,108,53819,555,37136,139,32123,102,59066,508,,,,,,,2013
117259427,146938,77.2,0.1,12,0.1,0.7,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.5,0.1,68.8,0.1,3.8,0.1,32.8,0.1,39.4,0.1,24,0.1,77152072,126112,42.9,0.1,57.1,0.1,72.7,0.1,19.8,0.1,7.5,0.1,40107355,83075,53.3,0.1,45,0.1,8.2,0.1,46.7,0.1,36.3,0.1,10.5,0.1,31.3,,31.8,,28.6,,53657,93,57355,94,35481,167,37227,789,74105,683,52815,2474,40865,303,48424,715,42748,237,59622,116,27047,230,58970,223,65018,147,39186,107,65910,113,62091,156,68166,136,80036,110,32087,139,45426,308,32220,67,28209,152,25085,102,55152,456,38020,180,32451,105,61071,332,,,,,,,2014
118208250,155130,77,0.1,12,0.1,0.7,0.1,5,0.1,0.1,0.1,3.4,0.1,1.9,0.1,12.7,0.1,68.4,0.1,3.8,0.1,32.5,0.1,39.2,0.1,24.5,0.1,77530756,136900,42.6,0.1,57.4,0.1,73.2,0.1,19.5,0.1,7.4,0.1,40677494,98602,53.3,0.1,44.9,0.1,8.4,0.1,46.7,0.1,36.1,0.1,10.6,0.1,35.6,,36.2,,32.7,,55775,85,59698,140,36544,162,38530,939,77368,547,55607,2870,42461,349,51737,460,44782,281,61394,95,28411,323,60810,107,67224,155,40971,123,68260,158,64701,297,70577,137,82078,115,33342,159,46778,254,33617,128,29721,143,26081,101,57166,416,39636,215,33807,224,63400,573,,,,,,,2015
118860065,154606,76.6,0.1,12,0.1,0.7,0.1,5,0.1,0.1,0.1,3.6,0.1,2,0.1,12.9,0.1,68,0.1,3.7,0.1,32.2,0.1,39,0.1,25.1,0.1,77785962,125088,42.2,0.1,57.8,0.1,73.2,0.1,19.3,0.1,7.4,0.1,41074103,103964,53.2,0.1,44.8,0.1,8.4,0.1,46.8,0.1,36.2,0.1,10.6,0.1,35.3,,36,,32.2,,57617,115,61349,88,38555,248,39719,1029,80720,446,57112,3218,44798,495,53114,685,46882,210,63155,127,30524,223,62815,204,69822,202,42113,138,71062,119,68011,262,72783,171,85290,122,35380,157,49599,393,34963,138,30423,122,26630,123,59803,568,40682,131,35168,146,65629,451,,,,,,,2016
120062818,161148,91620445,107067,14800044,43712,882702,15719,5739939,26037,159732,5799,4383033,36602,2476923,35877,15832610,49679,81071882,83326,4334161,36961,38660668,72930,46375863,71358,30692126,54283,78631163,144258,32846899,79121,45784264,105516,57847574,164114,22334270,78325,14896928,60378,7789620,45691,5886661,42613,2723009,26934,,,,,,,,,,,,,11661067,44495,25431562,72572,32522227,110498,9016307,48988,41431655,105291,21983211,69515,18482762,62135,3500449,28224,19448444,71762,15030393,68157,4418051,34820,120062818,161148,76,0,12,0,1,0,5,0,0,0,4,0,2,0,13,0,68,0,4,0,32,0,39,0,26,0,78631163,144258,42,0,58,0,73.6,0.1,28.4,0.1,18.9,0.1,2017
121520180,153217,92352948,110884,15097600,47216,903145,15989,5926096,25879,169684,6020,4416327,34696,2654380,40914,16351859,46878,81414881,85059,4423535,40847,39170027,83062,46083717,67931,31842901,47704,79241578,137610,32777050,78353,46464528,105890,58174461,165541,22257765,82986,15061738,67919,7778779,47532,6005379,39486,2740506,31175,37303940,116228,17409259,68708,14179989,57682,6438619,44824,2433067,27533,1476704,20389,11798475,41023,25446326,83109,32826819,114875,9169958,47370,42278602,83510,22420968,70185,18752797,68913,3668171,31004,19857634,54272,15301276,52778,4556358,36461,121520180,153217,76,0,12,0,1,0,5,0,0,0,4,0,2,0,14,0,67,0,4,0,32,0,38,0,26,0,79241578,137610,41,0,59,0,73.4,0.1,28.1,0.1,19,0.1,2018
122802852,137327,93145172,104092,15382489,40152,952313,13240,6052073,23724,170390,8138,4422288,31085,2678127,46109,16681970,50906,81930212,88967,4414628,40315,39566619,72371,45826277,62251,32995328,52105,79594270,130690,32481312,88550,47112958,116091,58370842,156460,22055657,82876,15055520,74144,7642966,56270,6167908,48817,2782689,31101,37600654,125339,17407311,63056,14193715,64353,6457555,45956,2465021,29214,1470014,25227,11887400,45733,25281553,76139,33023543,117712,9401774,51684,43208582,108781,22875023,76769,19128319,70663,3746704,35926,20333559,74593,15624312,69006,4709247,43820,122802852,137327,76,0,13,0,1,0,5,0,0,0,4,0,2,0,14,0,67,0,4,0,32,0,37,0,27,0,79594270,130690,41,0,59,0,73.3,0.1,27.7,0.1,18.9,0.1,2019
